,Warehouse Stock,Distribution Stock
3235,0,18
3236,0,18
3237,0,18
3238,0,18
3239,0,19
3240,0,19
3241,0,19
3242,0,19
3243,0,19
3244,0,19
3245,0,19
3246,0,19
3247,0,19
3248,0,19
3249,0,19
3250,0,19
3251,0,19
3252,0,19
3253,0,19
3254,0,19
3255,0,19
3256,0,19
3257,0,18
3258,0,18
3259,0,18
3260,0,18
3261,0,18
3262,0,18
3263,0,19
3264,0,19
3265,0,19
3266,0,19
3267,0,19
3268,0,19
3269,0,19
3270,0,19
3271,0,19
3272,0,19
3273,0,19
3274,0,19
3275,0,19
3276,0,19
3277,0,19
3278,0,19
3279,0,18
3280,0,18
3281,0,18
3282,0,18
3283,0,18
3284,0,18
3285,0,18
3286,0,18
3287,0,18
3288,0,18
3289,0,18
3290,0,18
3291,0,17
3292,0,17
3293,0,17
3294,0,17
3295,0,16
3296,0,15
3297,0,15
3298,0,15
3299,0,15
3300,0,15
3301,0,16
3302,0,16
3303,0,16
3304,0,16
3305,0,16
3306,0,16
3307,0,17
3308,0,17
3309,0,17
3310,0,17
3311,0,17
3312,0,17
3313,0,17
3314,0,17
3315,0,17
3316,0,17
3317,0,17
3318,0,17
3319,0,17
3320,0,18
3321,0,18
3322,0,18
3323,0,18
3324,0,18
3325,0,17
3326,0,17
3327,0,17
3328,0,17
3329,0,17
3330,0,16
3331,0,15
3332,0,14
3333,0,14
3334,0,14
4615,0,58
4616,0,58
4617,0,57
4618,0,57
4619,0,57
4620,0,57
4621,0,57
4622,0,56
4623,0,56
4624,0,56
4625,0,56
4626,0,57
4627,0,58
4628,0,58
4629,0,58
4630,0,58
4631,0,58
4632,0,58
4633,0,58
4634,0,60
4635,0,60
4636,0,60
4637,0,61
4638,0,61
4639,0,61
4640,0,61
4641,0,61
4642,0,61
4643,0,61
4644,0,61
4645,0,61
4646,0,61
4647,0,62
4648,0,62
4649,0,62
4650,0,62
4651,0,62
4652,0,62
4653,0,62
4654,0,62
4655,0,62
4656,0,62
4657,0,62
4658,0,62
4659,0,62
4660,0,59
4661,0,59
4662,0,59
4663,0,59
4664,0,59
4665,0,59
4666,0,59
4667,0,59
4668,0,59
4669,0,59
4670,0,59
4671,0,59
4672,0,59
4673,0,61
4674,0,61
4675,0,61
4676,0,61
4677,0,61
4678,0,61
4679,0,61
4680,0,62
4681,0,62
4682,0,62
4683,0,61
4684,0,61
4685,0,61
4686,0,61
4687,0,61
4688,0,61
4689,0,61
4690,0,61
4691,0,61
4692,0,61
4693,0,61
4694,0,61
4695,0,61
4696,0,61
4697,0,61
4698,0,61
4699,0,61
4700,0,60
4701,0,60
4873,0,54
4874,0,54
4875,0,53
4876,0,53
4877,0,53
4878,0,53
4879,0,53
4880,0,53
4881,0,53
4882,0,54
4883,0,53
4884,0,53
4885,0,53
4999,0,56
5000,0,55
5001,0,53
5002,0,54
5003,0,54
5004,0,56
5005,0,56
5006,0,56
5007,0,56
5008,0,56
5009,0,56
5010,0,56
5011,0,56
5012,0,56
5013,0,56
5014,0,57
5015,0,56
5016,0,55
5017,0,55
5018,0,54
5019,0,54
5020,0,55
5021,0,54
5022,0,55
5023,0,55
5024,0,55
5025,0,55
5026,0,55
5027,0,55
5028,0,55
5029,0,54
5030,0,53
5031,0,53
5032,0,53
5033,0,54
5034,0,54
5035,0,53
5036,0,53
5037,0,53
5038,0,53
5039,0,53
5040,0,53
5041,0,54
5042,0,54
5043,0,54
5044,0,55
5045,0,55
5046,0,55
5047,0,55
5048,0,55
5049,0,55
5050,0,55
5051,0,55
5052,0,55
5053,0,55
5054,0,55
5055,0,55
5056,0,55
5057,0,55
5058,0,57
5059,0,57
5060,0,56
5061,0,57
5062,0,58
5063,0,58
5064,0,59
5065,0,59
5066,0,59
5067,0,59
5068,0,59
5069,0,59
5070,0,60
5071,0,60
5072,0,60
5073,0,60
5074,0,60
5075,0,60
5076,0,60
5077,0,60
5078,0,60
5079,0,60
5080,0,61
5081,0,61
5082,0,63
5083,0,63
5084,0,63
5085,0,63
5086,0,62
5087,0,62
5088,0,62
5089,0,62
5090,0,62
5091,0,62
5092,0,62
5093,0,62
5094,0,62
5095,0,63
5096,0,63
5097,0,62
5112,0,61
245906,0,4792
245907,0,4793
245908,0,4793
245909,0,4793
245910,0,4793
245911,0,4791
245912,0,4791
245913,0,4792
245914,0,4792
245915,0,4792
245916,0,4792
245917,0,4793
245918,0,4793
245919,0,4793
245920,0,4792
245921,0,4791
245922,0,4791
245923,0,4791
245924,0,4791
245925,0,4791
245926,0,4791
245927,0,4791
245928,0,4790
245929,0,4790
245930,0,4789
245931,0,4789
245932,0,4789
245933,0,4789
245934,0,4789
245935,0,4789
245936,0,4788
245937,0,4788
245938,0,4787
245939,0,4787
245940,0,4789
245941,0,4789
245942,0,4789
245943,0,4789
245944,0,4789
245945,0,4789
245946,0,4789
245947,0,4789
245948,0,4790
245949,0,4790
245950,0,4790
245951,0,4790
245952,0,4790
245953,0,4790
245954,0,4790
245955,0,4790
245956,0,4790
245957,0,4790
245958,0,4790
245959,0,4790
245960,0,4791
245961,0,4791
245962,0,4792
245963,0,4790
245964,0,4791
245965,0,4791
245966,0,4791
245967,0,4791
245968,0,4791
245969,0,4791
245970,0,4791
245971,0,4791
245972,0,4791
245973,0,4793
245974,0,4793
245975,0,4793
245976,0,4793
245977,0,4793
245978,0,4793
245979,0,4793
245980,0,4793
245981,0,4793
245982,0,4793
245983,0,4793
245984,0,4793
245985,0,4794
245986,0,4794
245987,0,4794
245988,0,4794
245989,0,4794
245990,0,4794
245991,0,4795
245992,0,4795
245993,0,4795
245994,0,4795
245995,0,4795
245996,0,4795
245997,0,4795
245998,0,4795
245999,0,4795
246000,0,4795
246001,0,4795
